Datum,Empfänger,Kontonummer,Transaktionstyp,Verwendungszweck,Betrag (EUR),Betrag (Fremdwährung),Fremdwährung,Wechselkurs
2020-01-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-01-27,Jorge Sullivan,GB33RWAO15084237594599,Gutschrift,"Jorge Sullivan, MB 2020",60.0,,,
2020-01-27,Elizabeth Woods,GB78EWJM61093523376960,Gutschrift,"Elizabeth Woods, MB 2020",60.0,,,
2020-01-28,Susan Wagner,GB98MWSN02714278789007,Gutschrift,"Susan Wagner, MB 2020",60.0,,,
2020-01-30,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Peter Montgomery MB2020,60.0,,,
2020-01-30,Theodore Mcgrath,GB64TDGD93442176104714,Gutschrift,"Theodore Mcgrath, MB 2020, TFC Frankfurt",60.0,,,
2020-01-30,Stephanie Collins,GB32EUQU51240003485590,Lastschrift,"PP.5917.PP . IMPEX, Ihr Einkauf bei IMPEX",-54.55,,,
2020-01-31,Stephanie Sutton,GB44XWTU77658236940224,Gutschrift,"Stephanie Sutton, MB 2020",60.0,,,
2020-02-03,Brian Hamilton,GB60KKZL15900422945682,Gutschrift,"Brian Hamilton, MB 2020",55.0,,,
2020-02-03,Susan Levy,GB21JDPX30428146546118,Gutschrift,"Lisa Johnston, MB 2020",60.0,,,
2020-02-04,Sean Green,GB14PPKZ51717604522961,Gutschrift,"Sean Green, MB 2020",60.0,,,
2020-02-04,Kimberly Smith,GB43CZCG30601688477936,Gutschrift,"Kimberly Smith, MB 2020",60.0,,,
2020-02-04,Jennifer Summers,GB48CLHI92635110873176,Gutschrift,"Jennifer Summers, MB 2019",35.0,,,
2020-02-04,Jennifer Summers,GB48CLHI92635110873176,Gutschrift,"Jennifer Summers, MB 2020",60.0,,,
2020-02-18,April Snyder,GB77IGUB39213765821972,Überweisung,"Rechnungsnummer 8/2020, Ligaspielbetrieb 2020, 1. TFC Frankfurt",-295.0,,,
2020-02-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-02-28,Dana Nguyen,GB69SMUV68757738930555,Gutschrift,"Kristijan Mamic, MB 2020",60.0,,,
2020-03-03,Cheryl Bradley,GB69BQEI92694711801320,Gutschrift,Mietgliedsbeitrag 1. TFC 2020 Stibani,60.0,,,
2020-03-09,Walter Pratt,GB65JAYO52275868809189,Gutschrift,"Walter Pratt, MB 2020",55.0,,,
2020-03-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-04-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-05-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-06-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-07-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-08-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-09-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-10-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-11-03,Bobby Flores,GB39CXNY34896769930024,Überweisung,GD8116410N5,-26.52,,,
2020-11-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-12-16,Stephanie Sutton,GB44XWTU77658236940224,Gutschrift,Uebertrag Kasse vom 02.03.2020,56.31,,,
2020-12-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2020-12-29,Tasha Rodriguez,GB98MWSN02714278789007,Überweisung,Leonhart Rechnung 2019 vorgelegt,-48.9,,,
2020-12-29,Tasha Rodriguez,GB98MWSN02714278789007,Überweisung,Ullrich Rechnung 2019 vorgelegt,-56.9,,,
2020-12-29,Tasha Rodriguez,GB98MWSN02714278789007,Überweisung,TFVH Strafe R27/19 vorgelegt,-10.0,,,
2020-12-29,Tasha Rodriguez,GB98MWSN02714278789007,Überweisung,TFVH Strafe R29/19 vorgelegt,-50.0,,,
2020-12-29,Tasha Rodriguez,GB98MWSN02714278789007,Überweisung,TFVH Strafe R32/19 vorgelegt,-10.0,,,
2020-12-31,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Übertrag Kasse vom 09.12.2019,160.0,,,
2020-12-31,Susan Wagner,GB39QSIK17446660223450,Gutschrift,Kontostand 16.12.2019,131.45,,,
2020-12-31,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Kontostand 16.12.2019,712.6,,,
2020-12-31,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Norma Fisher Kontoführungsgebühren 2020,118.8,,,
2020-12-31,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Kontostand 16.12.2019,131.45,,,
2020-12-31,Susan Wagner,GB39QSIK17446660223450,Überweisung,Doppelte Ueberweisung,-131.45,,,
2021-01-05,Susan Wagner,GB98MWSN02714278789007,Gutschrift,Rückerstat. HLM-Gebuehren 2020 TFVH,170.0,,,
2021-01-05,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,"Susan Wagner, MB",60.0,,,
2021-01-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2021-01-29,Kimberly Maynard,GB88BPNE79125609767017,Gutschrift,TFC Mitgliedsbeitrag 2019/2020-01,65.0,,,
2021-02-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2021-02-22,Laurie Wallace,GB46YEAB99251853671097,Gutschrift,Mitgliedsbeitrag 2019,60.0,,,
2021-02-24,Janice Johnston,GB59TUKU19426418306753,Überweisung,"Rechnungsnr. T-1/2021, Mandantennr. 10026",-273.7,,,
2021-03-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2021-04-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2021-05-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Membership - Monthly Fee,-9.9,,,
2021-06-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft - Monatliche Gebühr,-9.9,,,
2021-07-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft - Monatliche Gebühr,-9.9,,,
2021-08-05,Stephanie Sutton,GB44XWTU77658236940224,Gutschrift,Uebertrag Kasse vom 02.08.2021,26.0,,,
2021-08-11,Susan Wagner,GB98MWSN02714278789007,Gutschrift,"Norma Fisher 01.2021 - 07.2021 (9,90 monatlich)",69.3,,,
2021-08-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft - Monatliche Gebühr,-9.9,,,
2021-08-31,Stephanie Sutton,GB44XWTU77658236940224,Gutschrift,Uebertrag Kasse vom 30.08.2021,41.0,,,
2021-09-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2021-09-30,Stephanie Collins,GB32EUQU51240003485590,Lastschrift,"PP.5917.PP . Ullrich Sport // RiproTec GmbH, Ihr Einkauf bei Ullrich Sport // RiproTec GmbH",-34.67,,,
2021-09-30,Stephanie Collins,GB32EUQU51240003485590,Lastschrift,"PP.5917.PP . Desiree Cain, Ihr Einkauf bei Desiree Cain",-25.6,,,
2021-09-30,Collin Lopez,GB91OLZU10074089933188,Überweisung,Order no.: 33645,-42.35,,,
2021-10-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2021-11-18,Stephanie Collins,GB32EUQU51240003485590,Lastschrift,"PP.5917.PP . Ullrich Sport // RiproTec GmbH, Ihr Einkauf bei Ullrich Sport // RiproTec GmbH",-56.95,,,
2021-11-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2021-11-30,Stephanie Collins,GB32EUQU51240003485590,Lastschrift,"PP.5917.PP . Desiree Cain, Ihr Einkauf bei Desiree Cain",-187.94,,,
2021-12-02,Mary Alvarez,GB43NQJD26961161162076,Lastschrift,Kaufland e-commerce GmbH 6331602910433,-26.98,,,
2021-12-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2021-12-29,Peter Mcdowell,GB59TUKU19426418306753,Überweisung,"Steuererklaerung 2020, Rechnungsnummer T-2/2021",-273.7,,,
2021-12-31,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Kassen Bargeld Ausnahme 20.12.2021,100.0,,,
2022-01-04,Michelle Kelley,GB98MWSN02714278789007,Gutschrift,"Susan Wagner, MB",60.0,,,
2022-01-11,Stephanie Collins,GB32EUQU51240003485590,Lastschrift,"PP.5917.PP . Desiree Cain, Ihr Einkauf bei Desiree Cain",-122.65,,,
2022-01-14,Sarah Villanueva,GB93VNAP54151150552035,Überweisung,1. TFC Frankfurt / Rechnungsnummer 23/2021,-32.0,,,
2022-01-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-01-25,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Kassenentnahme Ball- und Baendeverkauf + DYP Einnahmen 24.01.2022,150.0,,,
2022-02-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-02-22,Kimberly Myers,GB45CTEG03104509322717,Gutschrift,Beitrag Jacob Hooper,60.0,,,
2022-03-22,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Kassenentnahme 22.03.22,150.0,,,
2022-03-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-03-25,Stephanie Collins,GB32EUQU51240003485590,Lastschrift,"PP.5917.PP . Desiree Cain, Ihr Einkauf bei Desiree Cain",-519.0,,,
2022-04-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-05-22,Norma Fisher,GB92FKQI19720769845642,Überweisung,Norma Fisher You Mitgliedschaft,-9.9,,,
2022-05-24,Desiree Cain,GB20LWIE03557448529118,Überweisung,Bestellnummer 12828,-543.32,,,
2022-05-31,Peter Montgomery,GB56KJOB63812066503008,Gutschrift,Kassenentnahme 30.05.2022,150.0,,,
